Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,2236.2,590,13
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,9450,3000,21
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3788.4,1297.4,4
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2491.3,856.1,11
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,4340.4,1496.7,63
Tropical Storm Allison (June 1989),Tropical Cyclone,19890626,19890628,1485.9,585,11
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,22679.7,8999.9,86
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,3471.8,1502.9,18
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,60480,27000,61
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,6913,3100,7
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,2126.8,998.5,32
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1751,850,6
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,4326,2100,13
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,9612.5,4689,27
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,10014,5007,37
Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,19980813,1351,700,2
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1891.4,980,3
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,11550.1,5984.5,16
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,12203.2,6491,77
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,15084,8522,43
Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1932.9,1104.5,2
Tropical Storm Isidore (September 2002),Tropical Cyclone,20020925,20020927,2001,1150,5
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,9322.9,5484,55
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,26559.2,15999.5,35
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,16268,9800,48
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,34031,20500.5,57
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,4017,2495,15
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,201297.5,125029.5,1833
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,29415.2,18500.1,119
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,30020,19000,35
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1812.2,1267.3,3
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,8635.7,5997,53
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,18756.7,13494,45
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3786.1,2763.5,9
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,13100,10000,49
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,160000,125000,89
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,64000,50000,97
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,115200,90000,2981
Hurricane Florence (September 2018),Tropical Cyclone,20180913,20180916,30000,24000,53
Hurricane Michael (October 2018),Tropical Cyclone,20181010,20181011,31218.8,24975,49
Hurricane Dorian (September 2019),Tropical Cyclone,20190828,20190906,1980.3,1610,10
Tropical Storm Imelda (September 2019),Tropical Cyclone,20190917,20190921,6150,5000,5
Hurricane Hanna (July 2020),Tropical Cyclone,20200725,20200726,1300.8,1075,0
Hurricane Isaias (August 2020),Tropical Cyclone,20200803,20200804,5756.1,4757,16
Hurricane Laura (August 2020),Tropical Cyclone,20200827,20200828,28090.3,23215,42
Hurricane Sally (September 2020),Tropical Cyclone,20200915,20200917,8801.5,7274,5
Hurricane Delta (October 2020),Tropical Cyclone,20201009,20201011,3469.3,2867,5
Hurricane Zeta (October 2020),Tropical Cyclone,20201028,20201029,5266,4352,6
Tropical Storm Eta (November 2020),Tropical Cyclone,20201108,20201112,1766.7,1460,12
Tropical Storm Elsa (July 2021),Tropical Cyclone,20210707,20210709,1407.1,1213,1
Tropical Storm Fred (August 2021),Tropical Cyclone,20210816,20210818,1481.3,1277,7
Hurricane Ida (August 2021),Tropical Cyclone,20210829,20210901,84608.1,73572,96
Hurricane Nicholas (September 2021),Tropical Cyclone,20210914,20210918,1168.5,1016,0
Hurricane Fiona (September 2022),Tropical Cyclone,20220917,20220918,2685.7,2510,25
Hurricane Ian (September 2022),Tropical Cyclone,20220928,20220930,119626,111800,152
Hurricane Nicole (November 2022),Tropical Cyclone,20221110,20221111,1081.2,1020,5
Typhoon Mawar (May 2023),Tropical Cyclone,20230524,20230525,4420,4250,2
Hurricane Idalia (August 2023),Tropical Cyclone,20230829,20230831,3559.7,3456,5
Hurricane Beryl (July 2024),Tropical Cyclone,20240708,20240708,7219,7219,46
Hurricane Debby (August 2024),Tropical Cyclone,20240805,20240809,2476,2476,17
Hurricane Francine (September 2024),Tropical Cyclone,20240911,20240912,1291,1291,0
Hurricane Helene (September 2024),Tropical Cyclone,20240924,20240929,78721,78721,219
Hurricane Milton (October 2024),Tropical Cyclone,20241009,20241010,34250,34250,32
